race,series,track,aliases
Rolex Australian Grand Prix,f1,Albert Park,"Australian Grand Prix
Australian GP"
Petronas Malaysia Grand Prix,f1,Sepang International Circuit,"Malaysian Grand Prix
Malaysian GP"
UBS Chinese Grand Prix,f1,Shanghai International Circuit,"Chinese Grand Prix
Chinese GP"
Gulf Air Bahrain Grand Prix,f1,Bahrain International Circuit,"Bahrain Grand Prix
Bahrain GP"
Gran Premio de España,f1,Circuit de Catalunya,"Spanish Grand Prix
Spanish GP"
Grand Prix de Monaco,f1,Circuit de Monaco,"Monaco Grand Prix
Monaco GP"
Grand Prix du Canada,f1,Circuit Gilles Villeneuve,"Canadian Grand Prix
Canadian GP"
British Grand Prix,f1,Silverstone Circuit,"British Grand Prix
British GP"
Großer Preis von Deutschland,f1,Nürburgring,"German Grand Prix
German GP"
Magyar Nagydíj,f1,Hungaroring,"Hungarian Grand Prix
Hungarian GP"
Shell Belgian Grand Prix,f1,Circuit de Spa-Francorchamps,"Belgian Grand Prix
Belgian GP"
Gran Premio d'Italia,f1,Autodromo Nazionale Monza,"Italian Grand Prix
Italian GP"
Singapore Grand Prix,f1,Marina Bay Street Circuit,"Singapore Grand Prix
Singapore GP"
Korean Grand Prix,f1,Korea International Circuit,"Korean Grand Prix
Korean GP"
Japanese Grand Prix,f1,Suzuka Circuit,"Japanese Grand Prix
Japanese GP"
Airtel Indian Grand Prix,f1,Buddh International Circuit,"Indian Grand Prix
Indian GP"
Etihad Airways Abu Dhabi Grand Prix,f1,Yas Marina Circuit,"Abu Dhabi Grand Prix
Abu Dhabi GP"
United States Grand Prix,f1,Circuit of the Americas,"United States Grand Prix
United States GP"
Grande Prêmio do Brasil,f1,Autódromo José Carlos Pace,"Brazilian Grand Prix
Brazilian GP"
