race,series,track,url
NextEra Energy Resources 250,camping,Daytona International Speedway,http://en.wikipedia.org/w/api.php?format=xml&action=query&prop=revisions&rvprop=content&titles=NextEra_Energy_Resources_250
Kroger 250,camping,Martinsville Speedway,http://en.wikipedia.org/w/api.php?format=xml&action=query&prop=revisions&rvprop=content&titles=Kroger_250
North Carolina Education Lottery 200,camping,Rockingham Speedway,http://en.wikipedia.org/w/api.php?format=xml&action=query&prop=revisions&rvprop=content&titles=North_Carolina_Education_Lottery_200_(Rockingham)
SFP 250,camping,Kansas Speedway,http://en.wikipedia.org/w/api.php?format=xml&action=query&prop=revisions&rvprop=content&titles=SFP_250
North Carolina Education Lottery 200,camping,Charlotte Motor Speedway,http://en.wikipedia.org/w/api.php?format=xml&action=query&prop=revisions&rvprop=content&titles=North_Carolina_Education_Lottery_200
Lucas Oil 200,camping,Dover International Speedway,http://en.wikipedia.org/w/api.php?format=xml&action=query&prop=revisions&rvprop=content&titles=Lucas_Oil_200
WinStar World Casino 400K,camping,Texas Motor Speedway,http://en.wikipedia.org/w/api.php?format=xml&action=query&prop=revisions&rvprop=content&titles=WinStar_World_Casino_400K
UNOH 225,camping,Kentucky Speedway,http://en.wikipedia.org/w/api.php?format=xml&action=query&prop=revisions&rvprop=content&titles=UNOH_225
American Ethanol 200,camping,Iowa Speedway,http://en.wikipedia.org/w/api.php?format=xml&action=query&prop=revisions&rvprop=content&titles=American_Ethanol_200
Mudsummer Classic[46],camping,Eldora Speedway,http://en.wikipedia.org/w/api.php?format=xml&action=query&prop=revisions&rvprop=content&titles=/w/index.php?title=Mudsummer_Classic&action=edit&redlink=1
Pocono Mountains 125,camping,Pocono Raceway,http://en.wikipedia.org/w/api.php?format=xml&action=query&prop=revisions&rvprop=content&titles=Pocono_Mountains_125
Michigan 200,camping,Michigan International Speedway,http://en.wikipedia.org/w/api.php?format=xml&action=query&prop=revisions&rvprop=content&titles=VFW_200
UNOH 200,camping,Bristol Motor Speedway,http://en.wikipedia.org/w/api.php?format=xml&action=query&prop=revisions&rvprop=content&titles=UNOH_200
American Ethanol 200,camping,Iowa Speedway,http://en.wikipedia.org/w/api.php?format=xml&action=query&prop=revisions&rvprop=content&titles=American_Ethanol_200_(fall)
American Ethanol 225,camping,Chicagoland Speedway,http://en.wikipedia.org/w/api.php?format=xml&action=query&prop=revisions&rvprop=content&titles=American_Ethanol_225
Las Vegas 350,camping,Las Vegas Motor Speedway,http://en.wikipedia.org/w/api.php?format=xml&action=query&prop=revisions&rvprop=content&titles=Smith%27s_350
Fred's 250,camping,Talladega Superspeedway,http://en.wikipedia.org/w/api.php?format=xml&action=query&prop=revisions&rvprop=content&titles=Fred%27s_250
Kroger 200,camping,Martinsville Speedway,http://en.wikipedia.org/w/api.php?format=xml&action=query&prop=revisions&rvprop=content&titles=Kroger_200_(CWTS)
WinStar World Casino 350K,camping,Texas Motor Speedway,http://en.wikipedia.org/w/api.php?format=xml&action=query&prop=revisions&rvprop=content&titles=WinStar_World_Casino_350K
Phoenix 150,camping,Phoenix International Raceway,http://en.wikipedia.org/w/api.php?format=xml&action=query&prop=revisions&rvprop=content&titles=Lucas_Oil_150
Ford EcoBoost 200,camping,Homestead-Miami Speedway,http://en.wikipedia.org/w/api.php?format=xml&action=query&prop=revisions&rvprop=content&titles=Ford_EcoBoost_200
