race,series,track,url
DRIVE4COPD 300,nationwide,Daytona International Speedway,http://en.wikipedia.org/w/api.php?format=xml&action=query&prop=revisions&rvprop=content&titles=DRIVE4COPD_300
Dollar General 200,nationwide,Phoenix International Raceway,http://en.wikipedia.org/w/api.php?format=xml&action=query&prop=revisions&rvprop=content&titles=Dollar_General_200
Sam's Town 300,nationwide,Las Vegas Motor Speedway,http://en.wikipedia.org/w/api.php?format=xml&action=query&prop=revisions&rvprop=content&titles=Sam%27s_Town_300
Jeff Foxworthy's Grit Chips 300,nationwide,Bristol Motor Speedway,http://en.wikipedia.org/w/api.php?format=xml&action=query&prop=revisions&rvprop=content&titles=Jeff_Foxworthy%27s_Grit_Chips_300
Royal Purple 300,nationwide,Auto Club Speedway,http://en.wikipedia.org/w/api.php?format=xml&action=query&prop=revisions&rvprop=content&titles=Royal_Purple_300
O'Reilly Auto Parts 300,nationwide,Texas Motor Speedway,http://en.wikipedia.org/w/api.php?format=xml&action=query&prop=revisions&rvprop=content&titles=O%27Reilly_Auto_Parts_300
ToyotaCare 250,nationwide,Richmond International Raceway,http://en.wikipedia.org/w/api.php?format=xml&action=query&prop=revisions&rvprop=content&titles=ToyotaCare_250
Aaron's 312,nationwide,Talladega Superspeedway,http://en.wikipedia.org/w/api.php?format=xml&action=query&prop=revisions&rvprop=content&titles=Aaron%27s_312
VFW Sport Clips Help a Hero 200,nationwide,Darlington Raceway,http://en.wikipedia.org/w/api.php?format=xml&action=query&prop=revisions&rvprop=content&titles=VFW_Sport_Clips_Help_a_Hero_200
History 300,nationwide,Charlotte Motor Speedway,http://en.wikipedia.org/w/api.php?format=xml&action=query&prop=revisions&rvprop=content&titles=History_300
5-hour Energy 200,nationwide,Dover International Speedway,http://en.wikipedia.org/w/api.php?format=xml&action=query&prop=revisions&rvprop=content&titles=5-hour_Energy_200
Pioneer Hi-Bred 250,nationwide,Iowa Speedway,http://en.wikipedia.org/w/api.php?format=xml&action=query&prop=revisions&rvprop=content&titles=Pioneer_Hi-Bred_250
Alliance Truck Parts 250,nationwide,Michigan International Speedway,http://en.wikipedia.org/w/api.php?format=xml&action=query&prop=revisions&rvprop=content&titles=Alliance_Truck_Parts_250
Sargento 200,nationwide,Road America,http://en.wikipedia.org/w/api.php?format=xml&action=query&prop=revisions&rvprop=content&titles=Sargento_200
Feed the Children 300,nationwide,Kentucky Speedway,http://en.wikipedia.org/w/api.php?format=xml&action=query&prop=revisions&rvprop=content&titles=Feed_the_Children_300
Subway Firecracker 250,nationwide,Daytona International Speedway,http://en.wikipedia.org/w/api.php?format=xml&action=query&prop=revisions&rvprop=content&titles=Subway_Firecracker_250
F.W. Webb 200,nationwide,New Hampshire Motor Speedway,http://en.wikipedia.org/w/api.php?format=xml&action=query&prop=revisions&rvprop=content&titles=F.W._Webb_200
STP 300,nationwide,Chicagoland Speedway,http://en.wikipedia.org/w/api.php?format=xml&action=query&prop=revisions&rvprop=content&titles=STP_300
Indiana 250,nationwide,Indianapolis Motor Speedway,http://en.wikipedia.org/w/api.php?format=xml&action=query&prop=revisions&rvprop=content&titles=Indiana_250_(auto_race)
U.S. Cellular 250,nationwide,Iowa Speedway,http://en.wikipedia.org/w/api.php?format=xml&action=query&prop=revisions&rvprop=content&titles=U.S._Cellular_250
Zippo 200 at the Glen,nationwide,Watkins Glen International,http://en.wikipedia.org/w/api.php?format=xml&action=query&prop=revisions&rvprop=content&titles=Zippo_200_at_the_Glen
Nationwide Children's Hospital 200,nationwide,Mid-Ohio Sports Car Course,http://en.wikipedia.org/w/api.php?format=xml&action=query&prop=revisions&rvprop=content&titles=Nationwide_Children%27s_Hospital_200
Food City 250,nationwide,Bristol Motor Speedway,http://en.wikipedia.org/w/api.php?format=xml&action=query&prop=revisions&rvprop=content&titles=Food_City_250
NRA American Warrior 300,nationwide,Atlanta Motor Speedway,http://en.wikipedia.org/w/api.php?format=xml&action=query&prop=revisions&rvprop=content&titles=NRA_American_Warrior_300
Virginia 529 College Savings 250,nationwide,Richmond International Raceway,http://en.wikipedia.org/w/api.php?format=xml&action=query&prop=revisions&rvprop=content&titles=Virginia_529_College_Savings_250
Dollar General 300,nationwide,Chicagoland Speedway,http://en.wikipedia.org/w/api.php?format=xml&action=query&prop=revisions&rvprop=content&titles=Dollar_General_300_(Chicagoland)
Kentucky 300,nationwide,Kentucky Speedway,http://en.wikipedia.org/w/api.php?format=xml&action=query&prop=revisions&rvprop=content&titles=Kentucky_300_(NASCAR)
OneMain Financial 200,nationwide,Dover International Speedway,http://en.wikipedia.org/w/api.php?format=xml&action=query&prop=revisions&rvprop=content&titles=OneMain_Financial_200
Kansas Lottery 300,nationwide,Kansas Speedway,http://en.wikipedia.org/w/api.php?format=xml&action=query&prop=revisions&rvprop=content&titles=Kansas_Lottery_300
Dollar General 300,nationwide,Charlotte Motor Speedway,http://en.wikipedia.org/w/api.php?format=xml&action=query&prop=revisions&rvprop=content&titles=Dollar_General_300
O'Reilly Auto Parts Challenge,nationwide,Texas Motor Speedway,http://en.wikipedia.org/w/api.php?format=xml&action=query&prop=revisions&rvprop=content&titles=O%27Reilly_Auto_Parts_Challenge
Great Clips 200,nationwide,Phoenix International Raceway,http://en.wikipedia.org/w/api.php?format=xml&action=query&prop=revisions&rvprop=content&titles=Great_Clips_200
Ford EcoBoost 300,nationwide,Homestead-Miami Speedway,http://en.wikipedia.org/w/api.php?format=xml&action=query&prop=revisions&rvprop=content&titles=Ford_EcoBoost_300_(Homestead-Miami)
