"race","series","track","url"
"Sprint Unlimited","sprint-cup","Daytona International Speedway","http://en.wikipedia.org/w/api.php?format=xml&action=query&prop=revisions&rvprop=content&titles=Sprint_Unlimited"
"Budweiser Duels","sprint-cup","Daytona International Speedway","http://en.wikipedia.org/w/api.php?format=xml&action=query&prop=revisions&rvprop=content&titles=Budweiser_Duel"
"Daytona 500","sprint-cup","Daytona International Speedway","http://en.wikipedia.org/w/api.php?format=xml&action=query&prop=revisions&rvprop=content&titles=Daytona_500"
"Subway Fresh Fit 500","sprint-cup","Phoenix International Raceway","http://en.wikipedia.org/w/api.php?format=xml&action=query&prop=revisions&rvprop=content&titles=Subway_Fresh_Fit_500"
"Kobalt Tools 400","sprint-cup","Las Vegas Motor Speedway","http://en.wikipedia.org/w/api.php?format=xml&action=query&prop=revisions&rvprop=content&titles=Kobalt_Tools_400"
"Food City 500","sprint-cup","Bristol Motor Speedway","http://en.wikipedia.org/w/api.php?format=xml&action=query&prop=revisions&rvprop=content&titles=Food_City_500"
"Auto Club 400","sprint-cup","Auto Club Speedway","http://en.wikipedia.org/w/api.php?format=xml&action=query&prop=revisions&rvprop=content&titles=Auto_Club_400"
"STP Gas Booster 500","sprint-cup","Martinsville Speedway","http://en.wikipedia.org/w/api.php?format=xml&action=query&prop=revisions&rvprop=content&titles=STP_Gas_Booster_500"
"NRA 500","sprint-cup","Texas Motor Speedway","http://en.wikipedia.org/w/api.php?format=xml&action=query&prop=revisions&rvprop=content&titles=NRA_500"
"STP 400","sprint-cup","Kansas Speedway","http://en.wikipedia.org/w/api.php?format=xml&action=query&prop=revisions&rvprop=content&titles=STP_400"
"Toyota Owners 400","sprint-cup","Richmond International Raceway","http://en.wikipedia.org/w/api.php?format=xml&action=query&prop=revisions&rvprop=content&titles=Toyota_Owners_400"
"Aaron's 499","sprint-cup","Talladega Superspeedway","http://en.wikipedia.org/w/api.php?format=xml&action=query&prop=revisions&rvprop=content&titles=Aaron%27s_499"
"Bojangles' Southern 500","sprint-cup","Darlington Raceway","http://en.wikipedia.org/w/api.php?format=xml&action=query&prop=revisions&rvprop=content&titles=Bojangles%27_Southern_500"
"NASCAR Sprint All-Star Race XXIX","sprint-cup","Charlotte Motor Speedway","http://en.wikipedia.org/w/api.php?format=xml&action=query&prop=revisions&rvprop=content&titles=NASCAR_Sprint_All-Star_Race"
"Coca-Cola 600","sprint-cup","Charlotte Motor Speedway","http://en.wikipedia.org/w/api.php?format=xml&action=query&prop=revisions&rvprop=content&titles=Coca-Cola_600"
"FedEx 400","sprint-cup","Dover International Speedway","http://en.wikipedia.org/w/api.php?format=xml&action=query&prop=revisions&rvprop=content&titles=FedEx_400"
"Fan Driven 400","sprint-cup","Pocono Raceway","http://en.wikipedia.org/w/api.php?format=xml&action=query&prop=revisions&rvprop=content&titles=Fan_Driven_400"
"Quicken Loans 400","sprint-cup","Michigan International Speedway","http://en.wikipedia.org/w/api.php?format=xml&action=query&prop=revisions&rvprop=content&titles=Quicken_Loans_400"
"Toyota/Save Mart 350","sprint-cup","Sonoma Raceway","http://en.wikipedia.org/w/api.php?format=xml&action=query&prop=revisions&rvprop=content&titles=Toyota/Save_Mart_350"
"Quaker State 400","sprint-cup","Kentucky Speedway","http://en.wikipedia.org/w/api.php?format=xml&action=query&prop=revisions&rvprop=content&titles=Quaker_State_400"
"Coke Zero 400","sprint-cup","Daytona International Speedway","http://en.wikipedia.org/w/api.php?format=xml&action=query&prop=revisions&rvprop=content&titles=Coke_Zero_400"
"Lenox Industrial Tools 301","sprint-cup","New Hampshire Motor Speedway","http://en.wikipedia.org/w/api.php?format=xml&action=query&prop=revisions&rvprop=content&titles=Lenox_Industrial_Tools_301"
"Crown Royal 400","sprint-cup","Indianapolis Motor Speedway","http://en.wikipedia.org/w/api.php?format=xml&action=query&prop=revisions&rvprop=content&titles=Brickyard_400"
"Gobowling.com 400","sprint-cup","Pocono Raceway","http://en.wikipedia.org/w/api.php?format=xml&action=query&prop=revisions&rvprop=content&titles=Gobowling.com_400"
"Cheez-It 355 at The Glen","sprint-cup","Watkins Glen International","http://en.wikipedia.org/w/api.php?format=xml&action=query&prop=revisions&rvprop=content&titles=Cheez-It_355_at_The_Glen"
"Pure Michigan 400","sprint-cup","Michigan International Speedway","http://en.wikipedia.org/w/api.php?format=xml&action=query&prop=revisions&rvprop=content&titles=Pure_Michigan_400"
"Irwin Tools Night Race","sprint-cup","Bristol Motor Speedway","http://en.wikipedia.org/w/api.php?format=xml&action=query&prop=revisions&rvprop=content&titles=Irwin_Tools_Night_Race"
"AdvoCare 500","sprint-cup","Atlanta Motor Speedway","http://en.wikipedia.org/w/api.php?format=xml&action=query&prop=revisions&rvprop=content&titles=AdvoCare_500"
"Federated Auto Parts 400","sprint-cup","Richmond International Raceway","http://en.wikipedia.org/w/api.php?format=xml&action=query&prop=revisions&rvprop=content&titles=Federated_Auto_Parts_400"
