race,series,track,aliases
O'Reilly Auto Parts NHRA Winternationals,nhra,Auto Club Raceway at Pomona,
NHRA Arizona Nationals,nhra,Firebird International Raceway,
Amalie Motor Oil Gatornationals,nhra,Gainesville Raceway,
SummitRacing.com NHRA Nationals,nhra,Las Vegas Motor Speedway,
Dollar General Four-Wide Nationals1,nhra,Charlotte Motor Speedway,
O'Reilly Auto Parts NHRA Spring Nationals,nhra,Houston Raceway Park,
Summit Racing Equipment NHRA Southern Nationals,nhra,Atlanta Dragway,
NHRA Kansas Nationals,nhra,Heartland Park Topeka,
Toyota NHRA Summernationals,nhra,Old Bridge Township Raceway Park,
NHRA Ford Thunder Valley Nationals,nhra,Bristol Motor Speedway,
NHRA New England Nationals,nhra,New England Dragway,
O'Reilly Auto Parts Route 66 NHRA Nationals,nhra,Route 66 Raceway,
Summit Racing Equipment NHRA Nationals,nhra,Summit Motorsports Park,
Mopar Mile-High NHRA Nationals,nhra,Bandimere Speedway,
NHRA Sonoma Nationals,nhra,Infineon Raceway,
O'Reilly Auto Parts NHRA Northwest Nationals,nhra,Pacific Raceways,
Lucas Oil NHRA Nationals,nhra,Brainerd International Raceway,
NHRA U.S. Nationals,nhra,O'Reilly Raceway Park at Indianapolis,
